Chemical,ChemicalID,PMID_List,length
Phloroglucinol,D010696,[22101786],1
Phosphate,D010710,"[25769826, 28293039, 15292120, 2614673, 22622839, 19476633, 12519208, 28942849]",8
Phosphonic acids,D010757,[18544530],1
Phosphorus,D010758,[25769826],1
Phytoalexins,C011991,[3882051],1
Piceatannol,C041525,[16988123],1
Pikromycin,C003145,[11162229],1
Pimarane diterpenes,D045784,[28737020],1
Pipecolic acid,C031345,[16418868],1
Pitipeptolide A,C429212,[17063408],1
Plt,C095503,"[17037049, 23708134]",2
Pluronics,D020442,[19239495],1
Po2,C093415,[7765099],1
Pogostone,C483658,[23160088],1
Polychlorinated Biphenyl,D011078,[25970559],1
Polycyclic Aromatic Hydrocarbon,D011084,[27037123],1
Polycyclic aromatic hydrocarbons,D011084,[27037123],1
Polyene,D011090,[27311327],1
Polyhydroxyalkanoates,D054813,[19884772],1
Polyketide,D061065,"[25420039, 19362647, 28067831, 23555090, 19362644]",5
Polyketides,D061065,"[19619887, 20470251, 26605685, 26905826, 27338328, 27091386, 22362498, 27382785, 26195520, 21539584]",10
Polymer,D011108,[20553557],1
Polyphenol,D059808,[23865390],1
Polyphenols,D059808,"[27918439, 21925860]",2
Polysaccharide,D011134,[27393306],1
Preaustinoid A,C473688,[28648623],1
Proline,D011392,[27382776],1
Propionate,D011422,[22871941],1
Protorubradirin,C077332,[1399853],1
Proximicin B,C529560,[26975378],1
Pteridines,D011621,[28431213],1
Putrescine,D011700,[17922765],1
Pyridine,C023666,[26122961],1
Pyrrolnitrin,D011764,"[21362001, 9172332, 22353575, 18793314]",4
Q-10,C024989,[21551335],1
Quinoline,C037219,[29116183],1
Quinolone,D015363,"[10500159, 25239889]",2
Quinolones,D015363,[20738404],1
Quinomycin A,D004448,[19777825],1
R-3-hydroxyundecanoic acid methylester-3-O-alpha-l-rhamnopyranoside,C575074,[22611356],1
RA,C041376,[27179537],1
RNS,D011886,[25559405],1
RNS,D026361,[17132268],1
ROS,D017382,"[23493063, 28454711, 20530195, 25532893, 24131360]",5
Ramentaceone,C517013,[18782083],1
Reactive oxygen species,D017382,[12423020],1
Remazol Brilliant Violet 5R,C111247,[12868522],1
Resveratrol,D000077185,[16988123],1
Retymicin,C500114,"[15835721, 15835722]",2
Rhamnolipids,C418382,"[26588432, 20336292, 21667084]",3
Rhizoxin,C041443,[26655755],1
Rifampicin,D012293,"[26905826, 27208659]",2
Ristomycin A,C016719,[25114137],1
Roquefortine,C012536,[2231314],1
Rubradirin,C002857,[1399853],1
S,D013455,"[15765609, 18204466]",2
"S,S,S,-tributyl-phosphorotrithioate",C006863,[26961755],1
S-adenosylhomocysteine,D012435,[17103476],1
S-adenosylmethionine,D012436,"[27381522, 17997835, 16810258, 19914169, 12910260, 18204466, 17103476]",7
S-methyl thioacetate,C026500,[28358818],1
S-sulfide,D013440,[24428801],1
SA,D020156,"[25523369, 22978675, 24131360, 12423020]",4
SAH,D012435,[17103476],1
SAHA,D000077337,[29084681],1
SAM,D012436,"[17997835, 16810258, 19914169, 12910260, 17103476]",5
SDS,D012967,"[28534309, 25666178, 24779771, 24147072]",4
STXs,D012530,[24275084],1
Safrole,D012451,[351383],1
Salicylic acid,D020156,[8989880],1
Saline,D012965,[28425950],1
Saxitoxin,D012530,[23648386],1
Scyptolin A,C448645,[17457628],1
Scytonemin,C083368,[26785770],1
Secoiridoid glycosides,D057889,[24206732],1
Sephadex LH-20,C025614,"[29019198, 22032140, 26591527, 24377252, 20336498, 22494896]",6
Ser,D012694,"[1486236, 24847000, 21999169]",3
Shenqinmycin,C000628143,[26369437],1
Sodium acetate,D019346,[25970559],1
Sodium sulphate,C012036,[29188775],1
Sodorifen,C549933,[28408760],1
Sorbitol,D013012,[23148661],1
Sp,C000604007,[28072559],1
Sp+,C000604007,[28072559],1
Sparsomycin,D013033,[29111481],1
Squalene,D013185,[26643964],1
Stilbene,D013267,"[28246174, 22332977]",2
Streptogramins,D025361,[11178336],1
Streptokordin,C512209,[16830891],1
Suberin,C065875,[19968554],1
Sucrose,D013395,"[29084681, 25970559]",2
Sugars,D000073893,[27338261],1
Sulfide,D013440,[24428801],1
Sulfur,D013455,[15765609],1
Synercid,C062940,[11178336],1
TA,D013635,"[21764930, 24425771]",2
TB,D013725,"[24599183, 27554496]",2
TBA,D020002,[16305145],1
TCA,D014238,[21283831],1
TDA,C527336,"[24141121, 21892353, 22717884]",3
TDCA,D013657,[22496825],1
TFA,D014269,[26847793],1
THN,C121288,[10476972],1
TMA,C023336,"[29889418, 24399857]",2
TMAO,C005855,"[29889418, 24399857]",2
TMC,C058744,[17379718],1
TPP,D013835,"[18163882, 17997835]",2
TXB2,D013929,[2507445],1
Tautomycetin,C058744,[17379718],1
Terpenoid,D013729,[23840410],1
Terpenoids,D013729,[20951024],1
Tetarimycin A,C581112,[23157252],1
Thaxtomin A,C406691,[24678834],1
Thiamine,D013831,"[16597964, 26039483]",2
Thioamides,D013854,[20512793],1
Thiostrepton,D013883,[1770350],1
Thr,D013912,[21999169],1
Threonine,D013912,[25666178],1
Trichothecenes,D014255,"[15069674, 29261142]",2
Trimethoprim,D014295,[27367535],1
Trolox,C010643,[27272544],1
Trp,D014364,"[26270176, 22978675, 11402212]",3
Tryptophan,D014364,[19884772],1
Tyr,D014443,"[21999169, 26096082]",2
Tyrosine,D014443,[24927550],1
UA,C005466,[23132656],1
UA,C026423,[26189645],1
UDCA,D014580,[28360029],1
UDP-apiose,C511616,[28931093],1
UDP-glucuronic acid,D014535,[28931093],1
UDP-xylose,D014540,"[28931093, 28754206]",2
Uncialamycin,C512009,[27220082],1
Urea,D014508,[4911442],1
Uric acid,D014527,[4911442],1
Ursodeoxycholic acid,D014580,[28360029],1
Ursolic acid,C005466,[18758096],1
Usnic Acid,C073339,[27648556],1
Usnic acid,C073339,"[20583475, 25367342, 18421431, 15504865, 24571086, 23374132]",6
VFA,D005232,"[20456526, 16230654, 22871941]",3
Valine,D014633,[27382776],1
Valinomycins,D014634,[21245311],1
Versicorin,C000601244,[25835225],1
Violacein,C063155,"[29119317, 27288924]",2
Viriditoxin,C010375,[29037949],1
Volatile Organic Compounds,D055549,[23619351],1
Vulpinic acid,C077134,[8585741],1
Water,D014867,[29216824],1
Yersiniabactin,C104398,[27412582],1
ZEN,D015025,[28438205],1
Zearalenone,D015025,[28438205],1
Zeaxanthin,D065146,[28255686],1
abierixin,C047796,"[22032140, 26809052, 27554496]",3
abietic acid,C023710,[23350846],1
acacetin,C023717,[27487455],1
acarbose,D020909,[28917933],1
acarviosine,C076099,[18720947],1
acetaldehyde,D000079,"[9246777, 15141066]",2
acetals,D000080,[10656576],1
acetamide,C030686,"[26263697, 28535606]",2
acetate,D000085,"[25198138, 11960184, 29889418, 20456526, 16230654, 24151782, 22871941, 12747214, 7765099, 21751236, 20553557, 19040244, 16597967, 3882051, 3913845]",15
acetates,D000085,[19548685],1
acetic,D019342,[16751541],1
acetic acid,D019342,"[19919120, 26861361, 27884784, 15141066, 17657535, 6422823, 28164793]",7
acetic acid-2-hydroxy-6-(3-oxo-butyl)-phenyl ester,C553446,[20403429],1
acetic-acid,D019342,[6422823],1
acetoacetate,C016635,[24151782],1
acetoin,D000093,"[21216911, 25725457, 22924897, 26035127]",4
acetone,D000096,"[22806873, 27166532, 18242107, 15141066, 12918917, 16989307, 28592323, 9477250, 24453828]",9
acetonitrile,C032159,"[9306409, 18720947]",2
acetophenone,C038699,[28814712],1
acetyl coenzyme A,D000105,[27422837],1
acetyl-CoA,D000105,"[27048394, 27422837, 1302186, 14595781, 23924726]",5
acetylacetone,C008790,[29117587],1
acetylcholine,D000109,[24293352],1
achromobactin,C413577,[25182327],1
aclacinomycin,C011157,[1367126],1
acrolein,D000171,[26861361],1
actinomycin,D003609,[28293709],1
actinomycin C1,D003609,[28647504],1
actinomycin C2,C116801,[28647504],1
actinomycin C3,C010008,[28647504],1
actinomycins,D003609,"[21245311, 28717220]",2
actinopolymorphol A,C552534,[20599778],1
actinoramide A,C000604832,[27554496],1
actinorhodin,C013390,"[26418851, 12730372, 24240146, 1367126, 7229612, 21342469, 24963940, 21037009, 26369755, 23529369, 22068502, 23555999, 24906569, 27113590, 11526020, 1367312]",16
actinorhodins,C013390,[24633227],1
actiphenol,C000961,"[22852578, 26036671, 28647504]",3
aculeximycin,C039610,[25301375],1
acyl homoserine lactones,D054742,[24588386],1
acyl-CoA,D000214,[27338328],1
acyl-homoserine lactones,D054742,[10500159],1
adenine,D000225,"[16860349, 17997835]",2
adenosine,D000241,"[28383816, 10943372, 25236801, 30549826, 22940582]",5
adenosylcobalamin,C000913,[17997835],1
adenylyl imidodiphosphate,D000266,[22101842],1
aerothionin,C000603844,[22476960],1
aflatoxin,D000348,"[11109318, 14676319, 25427716]",3
aflatoxin B1,D016604,"[1920539, 28442411]",2
aflatoxins,D000348,"[16715543, 11109318, 25427716]",3
agar,D000362,"[12788752, 26577929, 24138171, 17233750, 22582055, 9246777, 21245311, 24300024, 18648671, 22754340, 22712411, 20644978, 28745417, 19267150, 21228890, 15307685, 20815231, 27002332, 12420170, 19813054, 23289327, 18421431, 24118945, 15078513, 25662514, 17601782, 18459968, 22544260, 23033653, 29151161, 18062256, 16538400, 15009417, 241738, 28000056, 21142208, 11386352, 164997, 22654215, 16680458, 28865203, 27842527, 20606771, 15740876, 23342508, 27272544, 16579461]",47
agarose,D012685,[21142208],1
agelasine D,C509934,[20061160],1
aglycone,C458179,[26431970],1
aglycones,C458179,"[11195098, 26040909, 23397456]",3
aklavinone,C027832,[1367126],1
alamar blue,C005843,[26323856],1
alanine,D000409,"[19919120, 525987, 22655051]",3
alaphosphin,C006437,[525987],1
alchivemycin A,C553074,[21097597],1
alcohol,D000438,"[25656264, 1367126, 22924897, 22039990, 3306361]",5
alcohols,D000438,"[10656576, 11823198, 9477250, 8158169]",4
aldehyde,D000447,"[17344339, 10656576, 26578313, 3306361]",4
aldehydes,D000447,[23160088],1
alginate,D000464,"[21685161, 17922765, 22247157]",3
alkaloid,D000470,"[15303321, 26299672, 19946877]",3
alkaloids,D000470,"[12788752, 26577929, 27548127, 27166532, 24138171, 28603127, 26122961, 27020867, 20446033, 24532297, 25594287, 28394295, 27757508, 26689539, 27898308, 28654009, 28846625, 11434213, 16038192, 20527468, 24941164, 26001558, 21193844, 27487455, 3718602, 23210781, 20061160, 18605256, 19946877, 22654215, 26349774, 27842527, 20606771, 15740876, 21610729]",35
alkane,D000473,"[27020867, 21156025]",2
alkanes,D000473,[9477250],1
alkene,D000475,[17379718],1
alkenes,D000475,[9477250],1
allantoin,D000481,[4911442],1
allose,C002055,[28945113],1
allyl isothiocyanate,C004471,[25362058],1
alnumycins,C112189,[26195520],1
aloesaponarin II,C092187,[1367126],1
alpha-amino acids,D000596,[28641557],1
alpha-chaconine,C011860,[25489722],1
alpha-cyano-4-hydroxycinnamic acid,C007175,[9306409],1
alpha-eudesmol,C118684,[27450433],1
alpha-ketoglutarate,D007656,[23924726],1
alpha-ketoglutaric acid,D007656,"[11823198, 23877277]",2
alpha-ketoisocaproic acid,C013082,[11823198],1
alpha-pinene,C005451,[27231874],1
alpha-solanine,C514919,[25489722],1
alphitolic acid,C000614552,[28407906],1
alphitonin,C569082,[12747214],1
altenuene,C040005,"[24689437, 25520187]",2
altenusin,C095643,[24689437],1
alternariol,C005197,[11109318],1
althiomycin,C010018,[24847000],1
aluminum chloride,D000077410,[28219296],1
amarine,C041246,[29019198],1
ambruticin,C014964,[23462001],1
ambuic acid,C429363,[19015326],1
amide,D000577,"[26263697, 29216824, 26991928, 11790734]",4
amides,D000577,"[11960184, 26263697, 28846625, 25222744]",4
amikacin,D000583,"[21060211, 23171666]",2
amine,D000588,"[17344339, 18424273]",2
amines,D000588,"[12868522, 351383, 10656576, 22924897, 17295279, 17922765]",6
amino sugar,D000606,[26272095],1
aminoacetone,C006495,[20562278],1
aminocoumarin,D049933,"[16868863, 15519567, 17464055]",3
aminocoumarins,D049933,[21672958],1
aminoglycoside,D000617,"[19362651, 26153129, 25646964, 21060211, 23332747, 549988]",6
aminoglycosides,D000617,"[21672958, 19362651, 21060211, 23332747, 23171666, 27033000]",6
aminosugar,D000606,[18424273],1
ammocidins,C440627,[29066791],1
ammonia,D000641,"[29889418, 22016433, 16230654, 26861361, 26861677, 3253407, 24399857, 26360760, 3073060, 21128606, 27471059, 21651627, 20087740, 21643706, 19041909, 16597967, 18720947, 19354300]",18
ammonium,D064751,"[23982431, 26360760, 21283831, 21520016]",4
ammonium sulfate,D000645,"[25666178, 2285341]",2
"amorpha-4,11-diene",C515348,[20133795],1
amphotericin B,D000666,[23979826],1
ampicillin,D000667,"[29108108, 26931616, 29049321, 26432787]",4
amygdalin,D000678,[25421573],1
anabasine,D000691,"[26122961, 9062923]",2
anatabine,C012737,[26122961],1
andrimid,C088069,[24141121],1
androstenedione,D000735,[29738205],1
angucyclinone,C510997,[22536997],1
angucyclinones,C510997,[1649152],1
anhydrotetracycline,C016229,[28942849],1
aniline,C023650,[25222744],1
ankaflavin,C499916,[19754167],1
ansamitocin P-3,C015682,[28782796],1
ansamycin,D017828,"[24621594, 10943372]",2
ansamycins,D047029,[10513843],1
anthocyanin,D000872,[23924942],1
anthocyanins,D000872,"[20396902, 23851446, 27179537, 24353343]",4
anthracycline,D018943,"[1367126, 1399853, 2126283]",3
anthracyclines,D018943,[29043664],1
anthranilate,C031385,"[21965577, 10896221]",2
anthranilic acid,C031385,"[16629408, 25239889, 10896221]",3
anthraquinone,D000880,"[21924970, 1367126, 17722122]",3
anthraquinones,D000880,"[27166532, 18400237, 1367126, 22372603, 17722122, 23023950, 29043664, 22654215, 16680458, 24453828]",10
antimycin,C032456,"[24593309, 24893324]",2
antimycins,C032456,"[24617253, 21245311, 24593309, 28358337]",4
apigenin,D047310,"[11195098, 21782215]",2
apiose,C004983,[28931093],1
apoptolidins,C114125,[29066791],1
aqabamycin A,C550684,[20431617],1
aranorosin,C058281,[1473986],1
aranorosinol A,C078930,[1473986],1
aranorosinol B,C078931,[1473986],1
archaeosine,C081066,[19354300],1
ardacin,C069893,[15870305],1
arginine,D001120,"[10907551, 20088961, 16597967, 28288097, 21520016]",5
aromatic amino acid,D024322,"[10907551, 19307147, 28116768]",3
aromatic amino acids,D024322,"[29889418, 19694949, 23349065, 21849072]",4
arsenic,D001151,[27902921],1
artemisinin,C031327,"[26567019, 24575401]",2
arthroamide,C000605883,[26575343],1
ascopyrone P,C507379,[12234354],1
ascorbic acid,D001205,"[20185187, 25128676, 28035958, 27842527]",4
astragaloside IV,C052064,[25775804],1
astringin,C121481,[22671027],1
asukamycin,C013404,[24838618],1
atranorin,C026304,[23374132],1
atrazine,D001280,[22981745],1
aureomycin,D002751,[6422823],1
auricin,C505282,"[23373695, 29155332]",2
aurofusarin,C083578,"[27916854, 26861361]",2
autolytimycin,C551125,[28472671],1
auxin,D007210,"[21216911, 25412549, 21043573, 19118125]",4
auxins,D007210,"[26638490, 25412549, 27251587]",3
avaroferrin,C000599724,[28434877],1
avarol,C023663,"[25213366, 15085406, 12918917]",3
avarone,C046374,[15085406],1
avermectin,C019264,"[22039402, 11572948, 2614673, 7868391]",4
avermectins,C019264,"[29049952, 7868391, 12692562]",3
azadirachtin,C010329,[27251587],1
azaphilones,C494154,[22372603],1
azelaic acids,C010038,[26270176],1
aziridine,C033132,[28425950],1
aziridines,D001388,[26299672],1
azithromycin,D017963,[26432787],1
azo dye,D001391,[12868522],1
azo dyes,D001391,[24779771],1
azole,D001393,"[25036825, 27648556]",2
bacillaene,C096634,"[17704766, 25002419]",2
bacillibactin,C430721,"[28355070, 28440700, 28283524]",3
bacillomycin,C020977,[25764969],1
bacillomycin D,C027845,"[25764969, 17898845]",2
bacilysin,C006674,[28440700],1
bacitracin,D001414,[21375710],1
bactobolins,C025268,[29087175],1
balhimycin,C087127,"[23184174, 22710162, 25114137, 21643706]",4
barbamide,C100545,[21555588],1
basidalin,C038319,[7945669],1
batumin,C088306,[15104054],1
bavistin,C006698,"[23065379, 22747978, 22332977]",3
beauvericin,C004456,"[27916854, 25742265]",2
benzaldehyde,C032175,"[19919120, 9246777, 25421573]",3
benzamide,C037689,"[27634222, 28358337]",2
benzanthracene,C030935,[28425950],1
benzene,D001554,[17284841],1
benzo[a]pyrene,D001564,[27037123],1
benzoate,D001565,[15289572],1
benzoic acid,D019817,"[16868863, 23023950]",2
benzophenone,C047723,"[26038981, 19842066]",2
benzoxazine,D048588,[20946131],1
benzoxazinoid,D048588,[26040909],1
benzoxazinoids,D048588,"[20946131, 23360460, 26040909]",3
benzoxazole,D001583,[25892546],1
benzoyl-coenzyme A,C037817,[15289572],1
benzylisoquinoline,D044182,"[27548127, 28784988, 29156609, 19946877]",4
berberine,D001599,"[28784988, 22179145]",2
beta-N-methylamino-l-alanine,C001824,[28073457],1
beta-carboline,C010262,[24857962],1
beta-carbolines,D002243,[25385358],1
beta-carotene,D019207,[18183453],1
beta-cyanoalanine,C004631,[3073060],1
beta-eudesmol,C051082,[27450433],1
beta-ionone,C008157,[28345890],1
beta-lactam,D047090,"[12970466, 26153129, 21924970, 1368054, 10943372, 25646964, 15719553, 15916601, 8784740, 20056700, 26790415]",11
beta-lactams,D047090,"[21672958, 3772735, 20624727]",3
beta-methyllanthionine,C005080,[12382680],1
beta-patchoulene,C000614835,[24633227],1
beta-pinene,C010789,[27272544],1
betaine,D001622,[27005411],1
betaines,D001622,"[24084783, 10841973]",2
bicarbonate,D001639,"[16000813, 27918439]",2
bikaverin,C000269,[27916854],1
bile acid,D001647,"[29080339, 27822648, 22496825, 29094115, 20837534, 24445449, 8784740, 28360029]",8
bile acids,D001647,"[25198138, 29080339, 29113654, 25958185, 29889418, 22016433, 27822648, 22496825, 21207512, 20837534, 18050942, 25690418, 7380334, 24445449, 8784740, 28360029]",16
bile salt,D001647,"[27822648, 28438205]",2
bis-(2-ethylhexyl) phthalate,D004051,[19708882],1
bitespiramycin,C503764,[20060537],1
blasticidin S,C004500,[28342817],1
bleomycin,D001761,[21849072],1
boron,D001895,[23564162],1
borrelidin,C005066,[24131731],1
bphA,C071190,[22202970],1
brevianamide F,C000590722,"[24532297, 26975378, 26061478, 19842066]",4
bromoform,C015044,[29018917],1
bromotyrosine,C475724,[26757731],1
bryostatin,D054713,[11571152],1
bryostatin 1,C046785,[17560324],1
bryostatins,D054713,[11571152],1
butanal,C018475,[19919120],1
butanol,D000440,"[23296917, 18242107, 19015326]",3
butein,C040918,[26323856],1
butenolide,C004511,[23084934],1
butenolides,C004511,"[15233843, 24893324]",2
butirosin,D002076,"[19362651, 241738]",2
butyl butyrate,C022793,[19441818],1
butylated hydroxyanisole,D002083,[1920539],1
butyrate,D002087,"[25198138, 29113654, 29889418, 28432098, 16230654, 24151782, 12747214, 19040244, 25121102, 26272259]",10
butyric acid,D020148,[24151782],1
butyrolactone,D015107,"[18628968, 26432787]",2
butyrolactones,D015107,[21672958],1
c-di-GMP,C062025,"[19409488, 23297839]",2
cAMP,D000242,"[25236801, 25897029, 22752173]",3
cadaverine,D002103,[28434877],1
cadmium,D002104,"[18704271, 17922765, 27523480]",3
caffeic acid,C040048,"[23250224, 19813054, 21830789, 26931616, 21782215, 23206756, 25765308]",7
caffeine,D002110,[26307771],1
caffeoylquinic acid,C472707,[27272544],1
calcium,D002118,"[28745417, 25819962, 23232715, 23409083, 22375709, 23555999, 21519847, 27113590, 20518352, 18688611]",10
calcium oxalate,D002129,[23157656],1
callose,C048306,[25243954],1
calystegine B2,C095613,[8988598],1
camalexin,C102405,"[8989880, 11402212]",2
camphor,D002164,"[19060161, 26916832]",2
camptothecin,D002166,"[18561955, 19946877]",2
candicidin,D002174,"[24593309, 28238083]",2
candicidins,D002174,[24593309],1
cannabinoid,D002186,[27416557],1
cannabinoids,D002186,[25100187],1
carbapenem,D015780,"[17360277, 21924970, 21824244, 15916601, 28705748, 22194349, 17766413, 19476633, 20056700, 12519208, 18485072]",11
carbendazim,C006698,"[25304022, 24689437]",2
carbohydrate,D002241,"[22016433, 22985125, 29212086, 18424273, 23053483, 28945113, 10907551, 22359583, 24948950, 25715784, 22375709, 16751541, 22120076, 6035263, 26866478, 28392457]",16
carbohydrates,D002241,"[19919120, 3772735, 27393306, 24646695, 20456526, 25735878, 12820872, 24069601, 23053483, 10907551, 27091386, 20088961, 25996156, 28392457]",14
carbon,D002244,"[20210692, 28814712, 28770367, 26643964, 1807199, 24620603, 17497228, 15066829, 15958783, 12868522, 26263697, 23982431, 17344339, 20541122, 15069674, 22098388, 17205789, 21926225, 23563743, 22768320, 14962038, 11858658, 19853457, 17272727, 25769826, 19267150, 7812438, 23601235, 22203554, 27515463, 26360760, 28265051, 26293487, 10907551, 22147733, 19968554, 23232715, 11385879, 26961755, 22359583, 25809238, 22112266, 10841973, 19884772, 23457254, 22130270, 14595781, 15141066, 17383221, 20553557, 8140285, 27091386, 28040597, 24948950, 22082189, 15617444, 20616047, 22432875, 24838618, 22375709, 25724963, 21342466, 25381232, 22188391, 16751541, 11200428, 11536462, 21965577, 6035263, 9781871, 20392474, 21283831, 24445449, 14716467, 26847793, 20230605, 17555441, 23963911, 23301151, 23924726, 23206756, 7646029, 9477250, 26051670, 23341601, 22098101, 549988, 23800234, 23457628, 17764709, 12542338, 3343216, 20518352, 22101842, 23473968, 9150595, 19118125, 24588386, 21611665, 16305145, 27129958, 12324314, 21610729]",103
carbon dioxide,D002245,"[3073060, 3541827, 22571441, 3913845]",4
carbon monoxide,D002248,"[18253713, 1367312]",2
carbonate,D002254,[11536462],1
carbons,D002244,"[19060161, 26893022]",2
carboxylic acid,D002264,"[15958783, 19619887, 25097259, 1312603]",4
carboxymethyl cellulose,D002266,[18242107],1
cardenolides,D002298,"[26001558, 20606771]",2
carnitine,D002331,[14595781],1
carolacton,C553423,"[20659313, 25902328]",2
carotenes,D002338,[11960184],1
carotenoid,D002338,"[18183453, 28255686, 21622754, 11572948]",4
carotenoids,D002338,"[27511455, 18183453, 22036764, 16038192, 27179537]",5
carvacrol,C073316,[23566822],1
casamino acid,C017721,[22586998],1
catalpol,C078040,[27459772],1
catechin,D002392,"[25059468, 29275130, 28407906, 21782215, 22671027]",5
catechins,D002392,[22671027],1
catechol,C034221,"[19813054, 24453828, 22609919]",3
caulerpenyne,C097889,[12542338],1
cefotaxime,D002439,[8784740],1
ceftazidime,D002442,[25737024],1
cellobiose,D002475,"[19694949, 18392685, 19968554]",3
cephalosporin,D002511,"[1368054, 15719553, 15939351, 6422823]",4
cephamycin,D002513,"[1368054, 15719553, 15939351]",3
cephamycin C,C024925,"[20133795, 15793135]",2
cephamycins,D002513,[1368054],1
cerebroside,D002554,[24825299],1
cereulide,C089294,[18001088],1
cervinin,C484925,[15043434],1
chaetoglobosin-,C019290,[21375710],1
chaetoglobosins,C019290,[22372603],1
chalcomycin A,C002018,[22777252],1
chalcones,D047188,"[29043664, 10476972]",2
chenodeoxycholic acids,D002635,[8784740],1
chitin,D002686,"[20553557, 20088961, 26272095, 27129958]",4
chloramphenicol,D002701,"[21585551, 11132960, 25646964, 29049321, 8485146, 28293709, 21342466, 5485731]",8
chloride,D002712,"[18789127, 19884772]",2
chlorine,D002713,"[6800032, 21439483]",2
chloroazaphilones,C501949,[23481677],1
chlorobiphenyls,D011078,[22427498],1
chloroform,D002725,"[24193053, 10409050, 28603127, 25656264, 23771021, 25737024, 14643798, 25432345, 18782083, 28219296, 20580869, 25205608, 27842527]",13
chlorogenic acid,D002726,[28567675],1
chloromycetin,D002701,[26670415],1
chlorophyll,D002734,"[24665759, 25655927, 16038192, 9630706, 9062923, 27966085, 24895757]",7
chloroquine,D002738,[28953997],1
cholesterol,D002784,"[20210692, 21672958, 29080339, 27822648, 1302184, 7380334, 17132268, 6400479, 8784740]",9
cholic acid,D019826,"[23090017, 18050942, 21551335]",3
choline,D002794,"[29889418, 23457628]",2
chorismic acid,D002827,[19189039],1
chrome azurol S,C015076,[12732958],1
chromones,D002867,[22372603],1
chrysin,C043561,"[11195098, 27487455]",2
cichoric acid,C100435,[21830789],1
cineromycin B,C000602311,"[8682719, 10513843, 19842066]",3
cinnamaldehyde,C012843,"[18661292, 16230654, 23566822]",3
cinnamate,D002934,"[15289572, 25101956]",2
cinnamic acid,C029010,[28391728],1
ciprofloxacin,D002939,[27842527],1
cisplatin,D002945,[27272544],1
citraconic acid,C073341,[27048394],1
citral,C007076,[23566822],1
citrate,D019343,"[12672588, 25195246, 28051856, 22609919]",4
citric acid,D019343,"[15591617, 7812438, 22924897, 20553557]",4
citric acids,D019343,[19919120],1
citrinin,D002953,[18459968],1
citromycetin,C013444,[27917206],1
clavulanic acid,D019818,"[15793135, 26790415]",2
clofibric acid,D002995,[20392474],1
clorobiocin,C006260,"[16868863, 15519567, 17464055]",3
closthioamide,C549934,"[22854892, 25284750]",2
clostrubin,C000604643,[24827417],1
clotrimazole,D003022,[27634222],1
cobalt,D003035,[164997],1
codeine,D003061,[22179145],1
coelibactin,C000600079,[25892546],1
colabomycin A,C057555,[7765099],1
colabomycin E,C000595731,[24838618],1
colibactin,C569566,"[27419387, 25527542, 27412582, 26390983]",4
condensed tannins,D044945,[26961755],1
congocidine,D009429,"[24258629, 21342466]",2
copper,D003300,"[23564162, 20372697, 16187093, 21384090, 164997]",5
coprogen,C010896,[26183915],1
coprostanol,D004083,[7380334],1
corilagin,C049096,[22475000],1
coronafacic acid,C084266,[25423263],1
coronamic acid,C043950,[25423263],1
coronatine,C058487,"[24131731, 25423263]",2
coumarin,C030123,"[28432098, 19813054, 20797445, 28394295, 20530195, 23644174]",6
coumarins,D003374,"[28432098, 20797445, 23644174]",3
coumermycin,C004628,[15519567],1
coumestans,C505898,[28623383],1
creatinine,D003404,[28083890],1
cremeomycin,C094831,[26689788],1
creosote,D003407,[15765609],1
crotonobetaine,C025237,[14595781],1
cryptophycin,C088419,[18001088],1
crystal violet,D005840,[22653947],1
cucurbitacin,D054728,[26850304],1
cumarin,C030123,[27480638],1
curacin A,C095843,"[26578313, 11777570, 18493654, 21555588]",4
curcumin,D003474,[28835544],1
curcuminoids,D036381,"[28835544, 25765308]",2
cyanide,D003486,"[29259082, 17344339, 10763748, 10943372, 19769587, 3073060, 164997, 11673439, 24291311, 22426436, 20236162]",11
cyanobacterin,C033701,[6800032],1
cyanobactin,C000627612,"[27037119, 26335778]",2
cyanobactins,C000627612,"[27037119, 21429787]",2
cyanohydrin,C430593,[25421573],1
cyanopeptolin,C094593,[28730710],1
cyanopeptolin S,C094593,[15668032],1
cyanopeptolins,C094593,"[25980449, 25173836]",2
cyanuric acid,C004632,[22981745],1
cyclic AMP,D000242,"[25897029, 22752173]",2
cyclic depsipeptide,D047630,[26335778],1
cyclic peptide,D010456,"[20479271, 9306409, 24868880, 26686620, 19015326, 26575343]",6
cyclic peptides,D010456,"[11960184, 15668032, 19307147, 28630351, 27554496]",5
cyclo,C468987,[22747978],1
cyclo-(L-Phe-L-Pro,C118540,[28535606],1
cyclo-(tyrosylprolyl),C118541,[19842066],1
cycloaspeptide A,C500117,[24868880],1
cycloastragenol,C061014,[25775804],1
cyclodepsipeptide,D047630,[23791620],1
cyclodepsipeptides,D047630,[28632186],1
cyclohexane,C506365,"[20403429, 27538581]",2
cycloheximide,D003513,"[22852578, 26036671]",2
cyclooctatin,C078947,[27554496],1
cycloprodigiosin,C108328,[21642414],1
cyclopropane fatty acid,C028775,[11200428],1
cyclosporine,D016572,[23084946],1
cylindrospermopsins,C089595,[24275084],1
cysteine,D003545,"[25795127, 3073060, 24848489, 27404808, 20106660, 21429787, 18629474, 10476972, 22101842, 26350134]",10
cystine,D003553,[26350134],1
d-gluconate,C030691,[22752173],1
d-gluconic acid,C030691,[22752173],1
